season,poss,mp,do_ratio,pacing,win_rating
1987,4847,2409,-1.546275485,-0.599917983,1.643090695
2017,5582,2708,0.996587349,0.531888178,10.80842731
2016,4976,2407,0.242597767,0.127976121,3.05477338
2021,1178,585,-1.343805716995652,-1.201033764463081,0.230004070665477
1988,4534,2056,-1.813990006,-0.128996645,0.905613507
2014,2088,1049,-1.628918268,-0.18326825,2.293202972
1992,2006,1031,0.377818815,0.028626229,1.453784527
1984,6411,2945,0.724686895,-0.118086154,3.967955166
2004,4977,2592,1.676767718,-0.710191162,4.661656952
2018,3195,1547,-1.54172732,-0.825696446,1.823280478
2016,3898,1870,0.493204135,0.62710409,0.477284179
2008,2384,1239,-2.757370899,0.977996206,-0.337695422
1992,2864,1427,1.521971368,0.002308818,2.273091773
2003,264,138,-6.844716919,1.725054629,-0.449265394
1993,5982,2985,1.311536676,-0.494248302,5.787544245
1980,627,302,-3.778841319,0.944612256,-0.080270688
1997,416,218,-4.296638761,0.507237745,-0.24761095
1992,4597,2271,0.90650504,-0.245433741,4.191398179
1982,885,418,-1.302571481,-0.043879596,0.331988347
2007,6745,3355,1.374671086,-0.124707208,7.487534298
1985,451,205,-4.826149298,0.758867106,-0.459680049
1996,2912,1495,-0.027018914,0.548730971,1.713070462
1987,5919,2793,4.344932621,0.071441386,8.398899261
1977,266,119,-3.741128845,1.241681482,0.004302684
1988,5383,2534,-1.779016078,0.052312862,1.087508561
1996,5342,2805,1.932530017,0.429016064,7.955050995
1983,4017,1704,-1.013538541,0.360953511,0.819016862
2007,6380,3349,1.340044497,0.166295984,10.17773319
2000,5030,2549,1.424587244,0.576631661,6.734445535
1989,5198,2543,2.150103909,0.141057858,7.361418499
1991,3583,1702,-1.227357311,0.349079286,2.216553929
1979,5144,2290,-2.047551637,0.317794666,2.496346961
1982,4454,2122,-1.001101305,-0.112762651,1.889649159
2016,3163,1580,-0.538866069,-0.039227625,4.453403832
1977,8169,3594,1.981862813,-0.132976884,8.324093815
2010,5416,2826,-0.383582286,-0.37101793,6.822650285
2004,24,12,-1.012249647,0.401729635,-0.000385631
1987,7062,3153,3.812047758,-0.429332958,13.21238539
1985,1403,634,-3.178061762,1.069428449,-0.526027934
2010,2430,1243,1.70409272,2.102923675,1.772095993
1980,4829,2272,0.939972466,0.126819459,4.39008223
2007,5629,2818,2.969462905,-0.194881681,7.064620603
2007,6954,3607,3.559659061,-0.068044285,10.57487926
1990,3635,1657,0.408323409,-0.499215595,1.90784059
2003,922,490,-7.008676696,0.445695004,-1.362648789
1984,736,346,-1.745298471,1.810450414,0.412846117
2016,4129,2024,-0.031167889,-0.487160172,4.100576426
1996,115,58,-4.112259712,0.884910869,-0.009424774
2000,5638,2873,-1.425263785,-0.819734642,2.515221466
2019,4787,2342,3.512718915,-0.625039621,10.75563906
1999,1338,714,0.134503371,-0.392222206,1.640869093
2014,830,408,-3.489192531,0.101478739,0.413879682
1985,421,198,1.219246147,-0.136030291,0.591981359
2013,4826,2510,-1.288042465,-0.090519581,1.82223196
2007,153,76,-1.596516289,0.056920739,-0.043713538
2011,1518,777,-3.806471154,1.087983176,-0.859396607
2017,2661,1360,-1.367700102,-0.776020743,-1.087300111
2016,4784,2246,0.915769114,2.444467719,8.343568857
2007,176,93,-4.261942603,0.370221648,-0.106841583
2002,4381,2274,2.071841469,1.317724595,5.082749103
2007,2036,1064,-0.903032416,0.518516471,3.353063932
2021,156,75,-7.997607479156252,-0.4737677952233547,-0.2880982293641809
1977,2218,1005,-2.702681085,0.702674109,-1.121685207
2011,2694,1439,-2.187321912,0.402879302,0.315539789
1978,23,10,-2.13521614,2.470709324,-0.002747479
2016,1688,857,-3.910570843,-0.993816724,-1.829195063
2005,3625,1866,-0.236391596,0.36586216,3.515855661
1989,710,336,-3.100841507,-0.099537441,-0.345269298
1998,5187,2812,-0.008824282,-0.125137652,4.796602651
2003,2743,1385,-0.914961526,0.256432679,-0.773337633
2009,4523,2333,3.424681732,-0.828075595,5.988452284
1979,2956,1332,-1.58281576,0.287417574,0.855804456
1981,4813,2275,0.286073291,-0.396336181,2.704141844
2017,1819,901,-1.313516256,-0.645100725,-0.175476963
2021,2569,1226,-2.222028954926419,0.0305038031731991,1.137552854681114
2017,3207,1556,-3.446392136,0.028095143,-0.821796394
1977,5925,2688,1.713278021,0.091245,5.726364203
2006,4849,2499,0.814418217,-0.779787926,3.089034747
1994,2670,1321,-1.473125572,0.165912815,0.059715406
1984,5802,2842,0.670422754,-0.373365137,4.681934048
2008,2943,1560,-3.211305921,-0.166666943,0.619905602
2017,5094,2452,1.31294914,-0.434023213,3.743713308
2004,3081,1637,-0.410415678,0.715345334,1.847791783
1990,1432,746,-1.341643901,0.877175221,0.149175497
2020,5822,2752,3.010708185,-0.761121414,4.786542859
2005,521,278,-2.338911856,0.299762488,0.006325578
1996,6131,3145,1.497636729,-0.589398982,7.173800371
1999,1405,734,-3.035206747,0.040158734,-0.859989774
